Sample ID,Date,Time,Initial Sample Wt,Diluted To Vol.,Wt Units,Sample Prep Vol.,Vol Units,Analyte Name,Date,Time,Abs (Corr),RSD (Corr Abs),SD (Corr Abs),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Units (Calib),Units (Samp),Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
Reagent Blank 1,12/11/2025,5:08:06 PM, , ,g, ,mL,Hg 253.7,12/11/2025,5:09:56 PM,0.000450908,962.279763,0.004338992,0.012107614, ,0.012, ,514.9463427,0.062347714, ,ug/L,ug/g,1,12/11/2025,5:08:55 PM,2,12/11/2025,5:09:25 PM,3,12/11/2025,5:09:56 PM
QAQC,12/11/2025,5:10:37 PM, , ,g, ,mL,Hg 253.7,12/11/2025,5:12:29 PM,0.066219108,3.711040614,0.002457418,0.957142135, ,0.957, ,3.689217947,0.035311059, ,ug/L,ug/g,1,12/11/2025,5:11:29 PM,2,12/11/2025,5:11:59 PM,3,12/11/2025,5:12:29 PM
27_lung,12/11/2025,5:13:12 PM,19.9, ,mg,20,mL,Hg 253.7,12/11/2025,5:15:02 PM,0.018244118,4.241165819,0.000773763,0.25567369,0.256958483,0.256,0.257,4.348643526,0.011118337,0.011174208,ug/L,ug/g,1,12/11/2025,5:14:01 PM,2,12/11/2025,5:14:31 PM,3,12/11/2025,5:15:02 PM
26_lung,12/11/2025,5:15:43 PM,20.2, ,mg,20,mL,Hg 253.7,12/11/2025,5:17:33 PM,0.018121652,4.037333628,0.000731632,0.253913953,0.251399953,0.254,0.251,4.140354982,0.010512939,0.01040885,ug/L,ug/g,1,12/11/2025,5:16:33 PM,2,12/11/2025,5:17:03 PM,3,12/11/2025,5:17:33 PM
26_gas,12/11/2025,5:18:14 PM,20.1, ,mg,20,mL,Hg 253.7,12/11/2025,5:20:05 PM,0.020503777,2.205615405,0.000452234,0.288143107,0.286709559,0.288,0.287,2.25521073,0.006498234,0.006465905,ug/L,ug/g,1,12/11/2025,5:19:04 PM,2,12/11/2025,5:19:34 PM,3,12/11/2025,5:20:05 PM
55_gas,12/11/2025,5:20:47 PM,20.4, ,mg,20,mL,Hg 253.7,12/11/2025,5:22:37 PM,0.040535103,1.984888867,0.000804577,0.575976663,0.564683003,0.576,0.565,2.007216901,0.011561101,0.011334413,ug/L,ug/g,1,12/11/2025,5:21:37 PM,2,12/11/2025,5:22:07 PM,3,12/11/2025,5:22:37 PM
36_gi,12/11/2025,5:23:19 PM,20.2, ,mg,20,mL,Hg 253.7,12/11/2025,5:25:10 PM,0.061810788,0.407718904,0.000252014,0.881690621,0.872961011,0.882,0.873,0.410715056,0.003621236,0.003585382,ug/L,ug/g,1,12/11/2025,5:24:10 PM,2,12/11/2025,5:24:40 PM,3,12/11/2025,5:25:10 PM
52_gi,12/11/2025,5:25:53 PM,20.5, ,mg,20,mL,Hg 253.7,12/11/2025,5:27:44 PM,0.068251663,1.692165816,0.001154931,0.974240649,0.950478682,0.974,0.95,1.703419529,0.016595405,0.016190639,ug/L,ug/g,1,12/11/2025,5:26:43 PM,2,12/11/2025,5:27:14 PM,3,12/11/2025,5:27:44 PM
17_brain,12/11/2025,5:28:27 PM,20.5, ,mg,20,mL,Hg 253.7,12/11/2025,5:30:17 PM,0.024027344,3.117385417,0.000749025,0.338773842,0.330511065,0.339,0.331,3.177006493,0.010762867,0.010500358,ug/L,ug/g,1,12/11/2025,5:29:16 PM,2,12/11/2025,5:29:47 PM,3,12/11/2025,5:30:17 PM
22_brain,12/11/2025,5:30:59 PM,19.9, ,mg,20,mL,Hg 253.7,12/11/2025,5:32:49 PM,0.031116362,5.396637341,0.001679237,0.440637166,0.442851423,0.441,0.443,5.475989965,0.024129247,0.0242505,ug/L,ug/g,1,12/11/2025,5:31:48 PM,2,12/11/2025,5:32:19 PM,3,12/11/2025,5:32:49 PM
21_liver,12/11/2025,5:33:31 PM,20.7, ,mg,20,mL,Hg 253.7,12/11/2025,5:35:20 PM,0.045659626,4.834030641,0.0022072,0.649611808,0.627644259,0.65,0.628,4.882244808,0.031715639,0.030643129,ug/L,ug/g,1,12/11/2025,5:34:20 PM,2,12/11/2025,5:34:50 PM,3,12/11/2025,5:35:20 PM
25_liver,12/11/2025,5:36:02 PM,20.6, ,mg,20,mL,Hg 253.7,12/11/2025,5:37:53 PM,0.099347652,1.04142171,0.001034628,1.421064229,1.379674009,1.421,1.38,1.046169944,0.014866747,0.014433735,ug/L,ug/g,1,12/11/2025,5:36:52 PM,2,12/11/2025,5:37:23 PM,3,12/11/2025,5:37:53 PM
QAQC,12/11/2025,5:38:35 PM, , ,g, ,mL,Hg 253.7,12/11/2025,5:40:27 PM,0.073645634,1.756676638,0.001293716,1.063855148, ,1.064, ,1.74738274,0.018589621, ,ug/L,ug/g,1,12/11/2025,5:39:26 PM,2,12/11/2025,5:39:56 PM,3,12/11/2025,5:40:27 PM
Standard blank,12/11/2025,5:41:10 PM, , ,g, ,mL,Hg 253.7,12/11/2025,5:42:59 PM,0.000203127,216.8769147,0.000440536,0.008547215, ,0.009, ,74.06079055,0.006330135, ,ug/L,ug/g,1,12/11/2025,5:41:59 PM,2,12/11/2025,5:42:29 PM,3,12/11/2025,5:42:59 PM
40_pec,12/11/2025,5:43:41 PM,20.1, ,mg,20,mL,Hg 253.7,12/11/2025,5:45:31 PM,0.013952769,5.885827999,0.000821236,0.194010558,0.193045332,0.194,0.193,6.082390823,0.01180048,0.011741772,ug/L,ug/g,1,12/11/2025,5:44:31 PM,2,12/11/2025,5:45:01 PM,3,12/11/2025,5:45:31 PM
