Sample ID,Date,Time,Initial Sample Wt,Diluted To Vol.,Wt Units,Sample Prep Vol.,Vol Units,Analyte Name,Date,Time,Abs (Corr),RSD (Corr Abs),SD (Corr Abs),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Units (Calib),Units (Samp),Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
QAQC,12/13/2025,4:26:04 PM, , ,g, ,mL,Hg 253.7,12/13/2025,4:27:55 PM,0.065534982,1.292351949,0.000846943,1.005304324, ,1.005, ,1.27367314,0.012804291, ,ug/L,ug/g,1,12/13/2025,4:26:55 PM,2,12/13/2025,4:27:25 PM,3,12/13/2025,4:27:55 PM
Standard blank,12/13/2025,4:28:38 PM, , ,g, ,mL,Hg 253.7,12/13/2025,4:30:27 PM,0.00115263,15.61137118,0.000179941,0.031955768, ,0.032, ,8.513015814,0.0027204, ,ug/L,ug/g,1,12/13/2025,4:29:27 PM,2,12/13/2025,4:29:57 PM,3,12/13/2025,4:30:27 PM
10_brain,12/13/2025,4:31:09 PM,20.2, ,mg,20,mL,Hg 253.7,12/13/2025,4:32:59 PM,0.011216751,5.680338739,0.000637149,0.159367739,0.15778984,0.159,0.158,6.044250456,0.009632585,0.009537213,ug/L,ug/g,1,12/13/2025,4:31:59 PM,2,12/13/2025,4:32:29 PM,3,12/13/2025,4:32:59 PM
43_gi,12/13/2025,4:33:42 PM,20.4, ,mg,20,mL,Hg 253.7,12/13/2025,4:35:34 PM,0.039641373,7.136858938,0.002829149,0.589098323,0.577547375,0.589,0.578,7.260550918,0.042771784,0.041933121,ug/L,ug/g,1,12/13/2025,4:34:33 PM,2,12/13/2025,4:35:03 PM,3,12/13/2025,4:35:34 PM
42_gi,12/13/2025,4:36:17 PM,19.9, ,mg,20,mL,Hg 253.7,12/13/2025,4:38:08 PM,0.026649695,3.303348264,0.000880332,0.392686858,0.394660159,0.393,0.395,3.389235813,0.013309084,0.013375963,ug/L,ug/g,1,12/13/2025,4:37:07 PM,2,12/13/2025,4:37:38 PM,3,12/13/2025,4:38:08 PM
5_pec,12/13/2025,4:38:51 PM,19.8, ,mg,20,mL,Hg 253.7,12/13/2025,4:39:42 PM,0.030339925, , ,0.448476683,0.453006751,0.448,0.453, , , ,ug/L,ug/g,1,12/13/2025,4:39:42 PM,,,,,,
5_pec,12/13/2025,4:42:03 PM,19.8, ,mg,20,mL,Hg 253.7,12/13/2025,4:43:55 PM,0.030941198,7.916375539,0.002449421,0.457566882,0.46218877,0.458,0.462,8.093017558,0.037030968,0.037405018,ug/L,ug/g,1,12/13/2025,4:42:54 PM,2,12/13/2025,4:43:24 PM,3,12/13/2025,4:43:55 PM
24_lung,12/13/2025,4:44:38 PM,19.7, ,mg,20,mL,Hg 253.7,12/13/2025,4:46:30 PM,0.040637161,3.365959811,0.001367831,0.604152886,0.613353184,0.604,0.613,3.422843046,0.020679205,0.020994117,ug/L,ug/g,1,12/13/2025,4:45:29 PM,2,12/13/2025,4:45:59 PM,3,12/13/2025,4:46:30 PM
31_brain,12/13/2025,4:47:13 PM,20.3, ,mg,20,mL,Hg 253.7,12/13/2025,4:49:05 PM,0.030500087,5.825537389,0.001776794,0.450898057,0.444234539,0.451,0.444,5.957448033,0.026862017,0.026465042,ug/L,ug/g,1,12/13/2025,4:48:04 PM,2,12/13/2025,4:48:34 PM,3,12/13/2025,4:49:05 PM
44_brain,12/13/2025,4:49:49 PM,20.1, ,mg,20,mL,Hg 253.7,12/13/2025,4:51:40 PM,0.027979489,7.097978324,0.001985978,0.41279103,0.410737344,0.413,0.411,7.273538752,0.030024516,0.02987514,ug/L,ug/g,1,12/13/2025,4:50:40 PM,2,12/13/2025,4:51:10 PM,3,12/13/2025,4:51:40 PM
